id,usaf,wban,stname,ctry,fips,state,call,lat,lon,elev,count,max,min,obs
013510-99999,013510,99999,FINSE III,NO,NO,,,60.6,7.517,1224.0,22,1994,1973,1780
013520-99999,013520,99999,SANDHAUG,NO,NO,,,60.183,7.483,1250.0,2,2009,2008,248
013550-99999,013550,99999,LAERDAL IV,NO,NO,,,61.06,7.3,5.0,15,2009,1985,358
013570-99999,013570,99999,FORTUN,NO,NO,,,61.5,7.7,35.0,1,1996,1996,2
013590-99999,013590,99999,GEILO OLDEBRATEN,NO,NO,,,60.533,8.2,773.0,4,2009,2006,1004
013600-99999,013600,99999,BRATA-SLETTOM,NO,NO,,,61.9,7.9,664.0,30,2009,1973,5592
013610-99999,013610,99999,GROTLI III,NO,NO,,,62.017,7.667,872.0,8,2009,1973,2131
013640-99999,013640,99999,GEILO-GEILOSTOLEN,NO,NO,,,60.517,8.217,810.0,18,2005,1988,5277
013660-99999,013660,99999,SOGNEFJELL,NO,NO,,,61.567,8.0,1415.0,19,2009,1979,5514
013670-99999,013670,99999,FAGERNES,NO,NO,,,60.983,9.233,365.0,28,2009,1982,9528
013671-99999,013671,99999,BEITOSTOLEN,NO,NO,,,61.233,8.933,828.0,1,1978,1978,1
013680-99999,013680,99999,FAGERNES LEIRIN,NO,NO,,ENFG,61.0,9.3,822.0,22,2009,1988,6595
013690-99999,013690,99999,ABJORSBRATE,NO,NO,,,60.917,9.283,639.0,1,1989,1989,15
013700-99999,013700,99999,SKABU-STORSLAEN,NO,NO,,,61.517,9.383,865.0,5,1993,1986,7
013710-99999,013710,99999,LOKEN I VOLBU,NO,NO,,,61.117,9.067,525.0,12,1986,1973,23
013720-99999,013720,99999,NESBYEN-SKOGLUND,NO,NO,,,60.567,9.133,167.0,31,2004,1973,8120
013730-99999,013730,99999,ESBYEN-TODOKK,NO,NO,,,60.567,9.133,166.0,5,2009,2005,1586
013740-99999,013740,99999,VEST-TORPA II,NO,NO,,,60.933,10.033,542.0,29,2009,1981,6852
013743-99999,013743,99999,FAGERNES/LEIRIN   &,NO,NO,,,61.0,9.3,822.0,1,1988,1988,197
013750-99999,013750,99999,KVITFJELL,NO,NO,,,61.483,9.967,1028.0,7,2009,1980,1636
013755-99999,013755,99999,GULLFAX (PLATFORM),NO,NO,,ENGC,61.033,2.033,10.0,21,2009,1989,7126
013760-99999,013760,99999,GULSVIK II,NO,NO,,,60.383,9.6,142.0,1,2009,2009,131
013780-99999,013780,99999,LILLEHAMMER-SAETHER,NO,NO,,,61.1,10.467,239.0,25,2009,1977,6515
013790-99999,013790,99999,SOR-NESSET,NO,NO,,,61.883,10.15,739.0,4,1988,1973,38
013800-99999,013800,99999,VENABU,NO,NO,,,61.65,10.117,940.0,22,2009,1985,3057
013801-99999,013801,99999,KITTILBU,NO,NO,,,61.167,9.967,816.0,1,1983,1983,1
